id	gene	loc	timeline	group	ko
#methods	categorical	categorical	no	no	no
#descriptions	gene name	leaf_or_stem	week	group	KO_or_OE
Z_adt1_WC_L_2wk_KO	adt1	L	2	adt1_L_KO	KO
Z_adt1_WC_L_4wk_KO	adt1	L	4	adt1_L_KO	KO
Z_adt1_WC_L_6wk_KO	adt1	L	6	adt1_L_KO	KO
Z_adt3_WC_L_2wk_KO	adt3	L	2	adt3_L_KO	KO
Z_adt3_WC_L_4wk_KO	adt3	L	4	adt3_L_KO	KO
Z_adt3_WC_L_6wk_KO	adt3	L	6	adt3_L_KO	KO
Z_adt4_WC_L_2wk_KO	adt4	L	2	adt4_L_KO	KO
Z_adt4_WC_L_4wk_KO	adt4	L	4	adt4_L_KO	KO
Z_adt4_WC_L_6wk_KO	adt4	L	6	adt4_L_KO	KO
Z_adt5_WC_L_2wk_KO	adt5	L	2	adt5_L_KO	KO
Z_adt5_WC_L_4wk_KO	adt5	L	4	adt5_L_KO	KO
Z_adt5_WC_L_6wk_KO	adt5	L	6	adt5_L_KO	KO
Z_adt6_WC_L_2wk_KO	adt6	L	2	adt6_L_KO	KO
Z_adt6_WC_L_4wk_KO	adt6	L	4	adt6_L_KO	KO
Z_adt6_WC_L_6wk_KO	adt6	L	6	adt6_L_KO	KO
Z_adt45_WC_L_2wk_KO	adt45	L	2	adt45_L_KO	KO
Z_adt45_WC_L_4wk_KO	adt45	L	4	adt45_L_KO	KO
Z_adt45_WC_L_6wk_KO	adt45	L	6	adt45_L_KO	KO
Z_adt145_WC_L_2wk_KO	adt145	L	2	adt145_L_KO	KO
Z_adt145_WC_L_4wk_KO	adt145	L	4	adt145_L_KO	KO
Z_adt145_WC_L_6wk_KO	adt145	L	6	adt145_L_KO	KO
Z_adt345_WC_L_2wk_KO	adt345	L	2	adt345_L_KO	KO
Z_adt345_WC_L_4wk_KO	adt345	L	4	adt345_L_KO	KO
Z_adt345_WC_L_6wk_KO	adt345	L	6	adt345_L_KO	KO
Z_adt3456_WC_L_2wk_KO	adt3456	L	2	adt3456_L_KO	KO
Z_adt3456_WC_L_4wk_KO	adt3456	L	4	adt3456_L_KO	KO
Z_adt3456_WC_L_6wk_KO	adt3456	L	6	adt3456_L_KO	KO
Z_AtADT4W_WC_L_2wk_KO	AtADT4W	L	2	AtADT4W_L_OE	OE
Z_AtADT4W_WC_L_4wk_KO	AtADT4W	L	4	AtADT4W_L_OE	OE
Z_AtADT4W_WC_L_6wk_KO	AtADT4W	L	6	AtADT4W_L_OE	OE
Z_AtADT4mW_WC_L_2wk_KO	AtADT4mW	L	2	AtADT4mW_L_OE	OE
Z_AtADT4mW_WC_L_4wk_KO	AtADT4mW	L	4	AtADT4mW_L_OE	OE
Z_AtADT4mW_WC_L_6wk_KO	AtADT4mW	L	6	AtADT4mW_L_OE	OE
Z_AtADT5W_WC_L_2wk_KO	AtADT5W	L	2	AtADT5W_L_OE	OE
Z_AtADT5W_WC_L_4wk_KO	AtADT5W	L	4	AtADT5W_L_OE	OE
Z_AtADT5W_WC_L_6wk_KO	AtADT5W	L	6	AtADT5W_L_OE	OE
Z_AtADT5mW_WC_L_2wk_KO	AtADT5mW	L	2	AtADT5mW_L_OE	OE
Z_AtADT5mW_WC_L_4wk_KO	AtADT5mW	L	4	AtADT5mW_L_OE	OE
Z_AtADT5mW_WC_L_6wk_KO	AtADT5mW	L	6	AtADT5mW_L_OE	OE
Z_adt1_WC_S_4wk_KO	adt1	S	4	adt1_S_KO	KO
Z_adt1_WC_S_6wk_KO	adt1	S	6	adt1_S_KO	KO
Z_adt1_WC_S_8wk_KO	adt1	S	8	adt1_S_KO	KO
Z_adt3_WC_S_4wk_KO	adt3	S	4	adt3_S_KO	KO
Z_adt3_WC_S_6wk_KO	adt3	S	6	adt3_S_KO	KO
Z_adt3_WC_S_8wk_KO	adt3	S	8	adt3_S_KO	KO
Z_adt4_WC_S_4wk_KO	adt4	S	4	adt4_S_KO	KO
Z_adt4_WC_S_6wk_KO	adt4	S	6	adt4_S_KO	KO
Z_adt4_WC_S_8wk_KO	adt4	S	8	adt4_S_KO	KO
Z_adt5_WC_S_4wk_KO	adt5	S	4	adt5_S_KO	KO
Z_adt5_WC_S_6wk_KO	adt5	S	6	adt5_S_KO	KO
Z_adt5_WC_S_8wk_KO	adt5	S	8	adt5_S_KO	KO
